S_ID,Down
11de507814bd94a9317ae5553d3e061d,1
18f496371d40c15b2f09212a1dc6c89c,1
2f375be14963ad1e26f98d917822d6d4,2
3c2c147290e814b995e5adf5429b50ce,2
4129a10a3a79e2b0dd6765db1cc60890,1
4a94a84bb6d31030ccdce407089e9d3f,1
5470d998a77729f28a4378608b9b2d32,2
57211caaa8f45eb14064ba1cbd203a5f,1
5e8d95683f6ade2026169e770b5d62ba,1
7b0df0e81b59e445add3c984ae6d3b10,1
7f20b0614884065d873ada8c93dfc808,1
af6865d829ff5bc1812a9bf56a088784,1
be8834f784c3dde2ca8460e5ffc3cb2c,2
bea424a9e8b375ad89ea25b689e232a9,2
dc933a74059590536fdfba148f4aeef9,2
dd7bf919583dbd9112ee3d2751d5a826,1
e7ea0caac87e1b7b1b285841df22cb7c,1
ec71918bc26e9c25ce10489d66b447e2,1
fe656b730746ddbce2608916080f7b71,1
32021c82079d68c388a601078e820f38,3
082fab9182301ef4cdb1cc8818d0c858,1
3b5ab143e6b12685f744cff160474db1,1
5dfe74f7e3286b42c0bb22a33887cb6f,1
8244e2a55f80d8dc8f1359c9df9930c3,1
8df2c08daa237cf764692cd7f6f9c289,1
96b0321bb7bb96663a0c7191dfdeffaa,1
9f4326d942cfe9b234144334c5ccc62e,1
c6b0553d4231c796ed38699a1895a0e1,1
d51e8cdc598f171ce4d3ae0876c44f4c,1
f125763017f7cc6ad7cca5f82ea58a72,1
f93f26141e12e44c1a7400fdbfcf8f06,1
393cb98e92a13836be8b0bb2089dc8f2,2
44cab00bc744a53e502122fc2c01c542,1
540cef596f8874f24f38eba9033640f9,2
5dadb490142ab3fd4a1c30e11ff7ac6d,1
632c6f8a1dad3c98cace282fc983f6a5,2
67291e27f745d2deafc5febc233d432f,1
6c35ef9451794138a86011efffca6dcc,1
999f5a072f3af8e6c5a827b2d3a34a13,3
b2b158d1ea378cd0850abe6b346451ea,2
b995e3531eefb35e1cdf989a82ec8280,2
bfc3a2aefaaea69fca134bdf0cfaa87b,2
cac2e46806c731a2d74eca42fec7e774,3
e4b9262968183a0a02b9ec7e6db537bc,3
e7e1037201a034a9f6cd9899bd4b2dcd,3
f3ce4bf35d230ba5e4cb91676d329240,1
507d7771cd3acde047d463d246723127,1
008c69d812e0d39a9ec3b93a49038cb6,9
03fa2bf7c9f26265c7fae625743453ff,1
3c822473686e7c068c1f062a8f2e9f02,1
4509629d7a95fba5fe723c6a764173cf,1
4a45bb4dd6b8dfa822f8d8aa62ac84ef,1
51bb3f42b059b35c896d68c28ef1e119,1
592c705d06e80ba55e5b1496edcb0202,1
87d0c42a614e9bb8fc8db218371016fc,1
8efcb62db6c41a550cffd12b59dddbe4,1
95edeba6ee5b4c66416d087bd7126b14,0
9a3c9faf89bfd3a2398d177fbfb639ad,2
a9d2166b68b89228b431e016e7c9f94d,1
b296dd827302b1960293a34e7adb3c04,2
cabdf9eb39d644a8e22d2420f77ea7b4,1
d900f033ce4d35e664b06657755c64d7,7
df8a75162073b0753487de9692fa31ad,2
e43bad3933edacb22821104e078d582f,1
fb33a3fc24db43dca6e609d1c5b71568,1
60686fc5e70ed0adeb73af8252b011a1,7
2b47fa8415fdf972d8bd2c8f43606127,2
2c8b6bcac7cd1ecf56a56aa0f0a80432,2
3c5d9fe485439d0b6b59bfa1f3965833,1
439b6c0c63cb0948a0229b3d8c30f114,1
4e828e1eb2cd64322770c000008ed49d,1
5877225e9804d5d3147e25c8bb87d8e8,1
635f22f7ac9105fa8313a9a262cb45a8,3
6959b02c84d6404eb48ff8f1284d1a14,2
6e1d4556d26cfa5cc537526c3d25aa0b,1
7086bbab04585383d1644c632e14e005,2
71444a2d85158223014143988738e7fe,2
8b98bdbffcb99feab64c8ea0731fb78d,2
9b55258f8a944e9067cb7f0a3f6320d1,1
9fed481d3b001f631618fce02d91692f,1
ac02cc7e4f748abbec58b41badafc216,2
c9b00bc70f6fc436c1d2b292de1e6e6b,1
fd452c83d0ffc629bc03eb9b7529e2d2,2
1da2953bcf95cf46975a9139eff96dfb,1
3d3261277ceaa2d58126108f9a66c9cf,2
560d50f65c72e12082ba9818c03da877,3
73bb3318cd668f79f4837c97ae8186e0,1
b90df16632074e81a33f1ba7cccefffb,2
faba709b00925c45a5ab77533b4a67b9,1
3ee3f8d21b3b34a77dee05481d402373,5
9a113d89d43356ef6dd5bc6371cad3cd,1
a3f742e65de68e1537aa3dc78b04f153,2
ac197c54c27b6b1b6457abdb20a2e52b,8
7fc234c121e648e574f84985e3f940a0,3
8fe1ae53aa204e348ff6598f14665a4b,1
96f874344bc8908b2d909804c885fa4c,3
a4cbfb6284d2e56bdc1f76a2b5eb08b9,1
bd51e3d70d18b925bd70791a4c060f31,4
c8be74403eeebd1dacdd01eba8eb30e2,2
da67e33012031c429d2b08c4c2bfffba,2
f89cc256c0021384770a75e7a21960f1,2
040fbcb95e75a3d4fc9e0db7a81981b1,2
10a84dda5f140e73be4c20a3756fa34c,3
17f31dfc21cdf5488c62deaa361392e1,1
1b45dd76fcf8c5339fc1a940fdafcae4,3
20d87e46e682ed98ac92398a3026550b,4
2b72b61161d6f6744f72cf543d3d573d,2
3274d37bcede95c17f34aa75ff0c734d,2
37f57ef6a386dd9578abb102a378f496,3
38afe52c85c6db94535e8f7ecf6fff0f,2
3996669b1c2ea5a373b723f1a4438722,3
3cfcb9c79f3f00c91743849e10218a74,2
3f50a8e5406ea37174250d42480a0cae,1
41d6b3c686c7fe5f47e22359f43f42ac,3
4c77b041b6d7c7c3d42b69cd89fcd03b,3
51594ab7fe2501ce82a3f5b30c5de795,3
